Category	pathway	celltype	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Type I IFN response	reactome_Interferon alpha/beta signaling	CD4_Mem	4.87733502414281e-5	0.00981270251047127	-0.536753846292205	-2.25353945669327	0	46	IRF1 STAT1 IFI6 IFITM3 MX1 JAK1 BST2 ISG15 XAF1 ADAR OAS3 IRF7 GBP2 IFI27 HLA-A IFITM1 IFITM2 OAS1 HLA-E IRF2 HLA-C MX2
Type I IFN response	reactome_Interferon alpha/beta signaling	CD4_Naive	2.8613121977739e-5	0.00772868006166362	-0.606900654376214	-2.38525406573302	0	44	ISG15 HLA-A HLA-E STAT2 IRF1 IFI6 BST2 MX1 STAT1 XAF1 OAS3 HLA-C IRF7 OAS1 IFI35 PTPN11 IFITM3 HLA-B MX2 GBP2 IFNAR1 OAS2
Type I IFN response	reactome_Interferon alpha/beta signaling	CD8_Mem	2.65174617485614e-5	0.00350951584018621	-0.588729905057494	-2.38819850469416	0	50	IRF1 IRF3 IRF4 GBP2 IRF7 JAK1 STAT1 IFNAR1 STAT2 IFI6 IFITM3 IFI27 MX2 OAS2 IRF9 ISG15 OAS1 PTPN11 OASL MX1 BST2 XAF1 IFITM1 USP18
Type I IFN response	reactome_Interferon alpha/beta signaling	CD8_Naive	5.76767793286423e-5	0.0137379272008973	-0.528274346558315	-2.04685964667887	1	40	GBP2 IP6K2 XAF1 IFI6 MX2 STAT1 BST2 OAS3 IFITM3 ISG15 IFITM1 IRF7 SOCS3 MX1 HLA-A OASL IRF9 IRF1 PSMB8 IFITM2 IFI35
Type I IFN response	reactome_Interferon alpha/beta signaling	DNT	6.01802153475814e-4	0.0262819825714683	-0.519167650548646	-1.89026023717486	36	42	IFITM3 IFITM1 IFIT3 IFI35 IFITM2 IFI6 STAT1 ISG15 MX1 HLA-C HLA-A IRF1 IRF9 IRF7 STAT2 IFNAR2 MX2 ADAR HLA-F PTPN11
Type I IFN response	reactome_Interferon alpha/beta signaling	Granulocytes	4.37512305033579e-5	0.00215506061107969	-0.661183872613727	-2.26838118414717	1	28	IFI6 BST2 XAF1 ISG15 SOCS3 HLA-B IFITM1 MX1 HLA-C HLA-A IFITM3 IFNAR2 IFITM2 HLA-E IRF1 HLA-F
Type I IFN response	reactome_Interferon alpha/beta signaling	MAIT	2.55246221444329e-4	0.0441940600557895	-0.56106190518554	-1.98730594621544	13	35	STAT1 GBP2 ISG15 MX1 IFITM3 IRF7 BST2 IFI35 MX2 HLA-A HLA-C XAF1 IFI6 HLA-B IFITM1 IFNAR2 ADAR IRF2 IRF1 SOCS3
Type I IFN response	reactome_Interferon alpha/beta signaling	Mono_Classical	1.89164648910412e-5	7.22273773144145e-4	-0.593074241473904	-2.25376086865292	0	49	HLA-F IRF1 OASL MX2 IRF8 SOCS3 STAT1 EGR1 HLA-E RSAD2 BST2 IFIT3 ISG15 ISG20 IFIT2 MX1 XAF1 PSMB8 OAS3 IRF7 IFI35 OAS2 STAT2 GBP2 IFITM1 IRF2 HLA-B JAK1 HLA-C IRF9 PTPN1 HLA-A
Type I IFN response	reactome_Interferon alpha/beta signaling	Mono_NonClassical	2.12874659400545e-5	0.00749942540240367	-0.590238190940438	-2.20010277719639	0	39	IFIT3 IFI27 IFIT2 IRF1 MX2 IFI6 ADAR OAS1 IFNAR1 IRF7 ISG15 IFI35 BST2 GBP2 IRF8 IFITM1 PTPN6 IRF9 HLA-E HLA-A MX1
Type I IFN response	reactome_Interferon alpha/beta signaling	NK_CD16hi	1.86313912325996e-4	0.0103703654414309	-0.493680903290451	-1.99717663587129	6	51	IRF1 SOCS3 STAT1 IRF8 OAS1 IFI35 IFI27 ADAR IFITM3 OAS3 IFNAR2 JAK1 STAT2 HLA-E MX1 RSAD2 MX2 IRF7 OAS2 IFITM1 IFI6 IRF3 HLA-C IFITM2 PTPN1
Type I IFN response	reactome_Interferon alpha/beta signaling	NK_CD56hiCD16lo	3.60113795959523e-5	0.00625192620965967	-0.691881178903031	-2.60322415517464	0	31	BST2 IFI6 IFITM1 MX1 HLA-B ISG15 STAT1 JAK1 IRF1 XAF1 IFITM3 IRF7 HLA-C ADAR IFITM2 HLA-E OASL HLA-F HLA-A
Type I IFN response	reactome_Interferon alpha/beta signaling	Platelets	3.50674171093928e-5	5.36865457174752e-4	-0.643109341700523	-2.18691727171698	1	24	ISG15 IFITM1 IFNAR1 SAMHD1 BST2 IRF1 ISG20 STAT1 PSMB8 IFI6 ADAR
Type I IFN response	reactome_Interferon alpha/beta signaling	Treg	1.96186141410971e-5	0.00426135920025734	-0.657599419217904	-2.46564912983336	0	43	OASL IFI6 GBP2 IRF7 IFI27 OAS2 PSMB8 PTPN6 STAT1 MX1 OAS1 HLA-E IRF2 HLA-C IFI35 HLA-B IFITM3 BST2 IRF1 IFNAR1 STAT2 XAF1 JAK1 IRF3 MX2 ISG15 IFITM1 ADAR HLA-A OAS3
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	gated B_CD71	0.00166595472020504	0.0656689060619005	-0.645647964932204	-1.93124372103476	77	17	MX1 LAP3 PARP12 BST2 IRF7 IFIH1 TRIM22 XAF1
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	gated Tfh	1.99330250358794e-5	0.00104346077514229	-0.785572485240982	-2.53677116173667	0	23	IFI6 ISG15 STAT2 LGALS3BP BST2 IRF7 GBP1 MX1 PARP9 TRIM22 EPSTI1 LY6E IFI35 XAF1 OAS1 OAS1 OASL
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	gated Treg	1.85594179766523e-5	0.00924688868916041	-0.746234509835549	-2.40094799366798	0	23	IRF7 ISG15 PARP9 MX1 IFI6 TRIM22 IFITM3 PARP12 EIF2AK2 EPSTI1 XAF1 OAS1 OAS1 BST2 ZBP1 MT2A LAP3 LY6E IFI35 OAS2 OAS2
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	B_Naive	3.00869512892259e-5	0.00375744032280453	-0.704826156936522	-2.59532893540898	0	30	IFI6 ISG15 IFI35 LY6E SAMD9L ZBP1 EPSTI1 MX1 XAF1 HERC5 PARP14 PARP9 DDX58 IFITM3 IRF7 BST2 PLSCR1 EIF2AK2 IFI44L
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	CD4_Mem	4.5903144365389e-5	0.00981270251047127	-0.704276570326086	-2.88510648231974	0	41	LGALS3BP IFI6 IFITM3 LAP3 MX1 MT2A BST2 ISG15 EIF2AK2 XAF1 OAS3 IFI44L IRF7 LY6E IFI27 EPSTI1 PARP12 PLSCR1 PARP9 TRIM22 OAS1 OAS1 IFI44 HERC6 GBP1 DDX58
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	CD4_Naive	2.83342305839685e-5	0.00772868006166362	-0.760463482220416	-2.95836400675308	0	42	ISG15 DDX58 HERC6 EPSTI1 SCO2 STAT2 EIF2AK2 IFI6 BST2 MX1 LGALS3BP LAP3 MT2A XAF1 IFI44L PARP9 OAS3 IRF7 FBXO6 MAFB LY6E OAS1 OAS1 IFI35 IFI44 IFITM3 DHX58 PLSCR1 SAMD9L IFIH1 OAS2 OAS2 PARP12
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	CD8_Mem	2.61560996024273e-5	0.00350951584018621	-0.716587809610029	-2.84036651399892	0	45	LGALS3BP LAP3 IRF7 MT2A TRIM22 STAT2 GBP1 EPSTI1 IFI44L IFI6 SAMD9L IFITM3 IFI44 IFI27 OAS2 OAS2 ISG15 OAS1 OAS1 DDX58 PLSCR1 EIF2AK2 OASL MX1 PARP12 BST2 XAF1 PARP9 PARP14 IFI35 FBXO6
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	CD8_Naive	2.76701715550636e-5	0.012129019819204	-0.707261265628605	-2.59511366284569	0	32	XAF1 HERC6 IFI6 DDX58 BST2 LGALS3BP OAS3 PLSCR1 SAMD9L GBP1 IFITM3 ISG15 IRF7 MX1 IFI44 LY6E OASL EIF2AK2 MT2A PARP9 PARP12 IFI35 TRIM22
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	cDC	0.00309042951064919	0.173615281987941	-0.500029415011855	-1.77651787438928	156	33	OASL IFI44 IFIH1 EIF2AK2 OAS3 MX1 BST2 LY6E IRF7 XAF1 IFI6 LAP3 TIMM10 TRIM22 IFI35 FBXO6 SCO2
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	DNT	4.93884068946216e-5	0.00313263609445886	-0.600165924311026	-2.09753074369962	2	35	IFITM3 DDX58 PARP14 LY6E EPSTI1 IFIT3 IFIT3 IFIT3 IFI35 IFI6 ISG15 MX1 HERC5 PLSCR1 SAMD9L IRF7 STAT2
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	MAIT	1.85250365869473e-5	0.00503907151365476	-0.769653410440672	-2.39873451174481	0	21	PLSCR1 EPSTI1 ISG15 IFI44 TRIM22 MX1 IFITM3 IRF7 BST2 IFI35 HERC5 LAP3 XAF1 LY6E EIF2AK2 IFI6
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	Mono_Classical	1.88993045055942e-5	7.22273773144145e-4	-0.647933853983505	-2.47251094335293	0	50	HES4 OASL DDX58 LGALS3BP JUP SCO2 RSAD2 SERPING1 BST2 IFIT3 IFIT3 IFIT3 EIF2AK2 MAFB ISG15 IL1RN IFIT2 MX1 PARP14 XAF1 OAS3 IRF7 IFI35 OAS2 OAS2 GBP1 STAT2 IFI44L LY6E EPSTI1 FBXO6 IFI44 PARP12 HERC5 LAP3 TRIM22
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	Mono_NonClassical	2.12797650713936e-5	0.00749942540240367	-0.675963443828834	-2.41954023352859	0	33	EPSTI1 IFIT3 IFIT3 IFIT3 HES4 IFI27 IFIT2 IFI6 OAS1 OAS1 SCO2 PLSCR1 MT2A IRF7 ISG15 IFI35 BST2 EIF2AK2 PARP9 GBP1
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	NK_CD16hi	2.62515422781088e-5	0.00265949731490598	-0.634706168798606	-2.50890063942464	0	46	HES4 OAS1 OAS1 IFIH1 PARP14 IFI44 IFI35 IFI27 IFITM3 MT2A OAS3 STAT2 MX1 RSAD2 HERC6 HERC5 MAFB IRF7 EIF2AK2 OAS2 OAS2 EPSTI1 IFI6 IFI44L TRIM22 PLSCR1 LAP3 ZBP1 PARP12 IFIT3 IFIT3 IFIT3 ISG15
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	NK_CD56hiCD16lo	3.27278677794142e-5	0.00625192620965967	-0.73278956373069	-2.52182892062581	0	22	MT2A BST2 IFI6 IFI44L MX1 ISG15 TRIM22 XAF1 IFITM3 IRF7 EIF2AK2 LY6E OASL
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	NK_CD56loCD16lo	0.0129198966408269	0.203856343832794	-0.484180583345463	-1.67086788121467	429	24	HERC5 ISG15 EIF2AK2 IFITM3 STAT2 ZBP1 IFI6 LY6E IFI35 EPSTI1 LAP3 BST2 GBP1 IFI27 MT2A PARP14 IRF7
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2008)	Treg	1.97324282726232e-5	0.00426135920025734	-0.755780655148106	-2.75333505543529	0	38	OASL IFI6 IRF7 SAMD9L GBP1 LGALS3BP LY6E IFI27 OAS2 OAS2 PARP9 FBXO6 MX1 EPSTI1 OAS1 OAS1 PLSCR1 IFI35 IFITM3 BST2 EIF2AK2 IFIH1 IFI44 ZBP1 STAT2 PARP12 PARP14 XAF1 MT2A
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	gated B_CD71	0.00506296800544588	0.163627182478708	-0.631785867364784	-1.82389240098576	237	15	MX1 PARP12 SAMD9 UBE2L6 IRF7 IFIH1 TRIM22 XAF1 MARCKS
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	gated Plasmablast	0.0276592994700788	0.23228240619545	-0.537903580103463	-1.57189885765647	1711	19	JUN EPSTI1 FBXO6 ISG15 IRF7 IFI6 STAT1 UBE2L6 SAMD9L
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	gated Tfh	1.99302441454908e-5	0.00104346077514229	-0.768058988697371	-2.42219460331664	0	21	IFI6 ISG15 LGALS3BP UBE2L6 IRF7 GBP1 MX1 PARP9 TRIM22 EPSTI1 STAT1 XAF1 OAS1 OASL
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	gated Treg	1.87101240481224e-5	0.00924688868916041	-0.795743080401958	-2.39760459839789	0	18	IRF7 ISG15 PARP9 MX1 IFI6 TRIM22 SAMD9 MX2 PARP12 UBE2L6 EIF2AK2 EPSTI1 XAF1 OAS1
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	B_Naive	2.98347156751596e-5	0.00375744032280453	-0.778059469275213	-2.84161249635579	0	29	DDX60L IFI6 ISG15 DDX60 UBE2L6 SAMD9L EPSTI1 MX1 STAT1 XAF1 HERC5 PARP14 PARP9 DDX58 MARCKS SAMD9 IRF7 MX2 PLSCR1 EIF2AK2 IFI44L
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	CD4_Mem	4.51875282422052e-5	0.00981270251047127	-0.73050962847258	-2.95157074021745	0	39	LGALS3BP PNPT1 STAT1 IFI6 DDX60L MX1 ISG15 EIF2AK2 XAF1 OAS3 IFI44L UBE2L6 IRF7 IFI27 EPSTI1 PARP12 PLSCR1 PARP9 TRIM22 OAS1 IFI44 HERC6 GBP1 DDX58 MX2
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	CD4_Naive	2.81976088427701e-5	0.00772868006166362	-0.747741020282039	-2.89287193538455	0	41	UBE2L6 ISG15 DDX58 DDX60L HERC6 EPSTI1 EIF2AK2 IFI6 MX1 LGALS3BP STAT1 XAF1 IFI44L PARP9 OAS3 IRF7 FBXO6 OAS1 IFI44 DHX58 PLSCR1 DDX60 MX2 PNPT1 SAMD9L CMPK2 IFIH1 OAS2 PARP12 TRIM5 PARP14 RTP4 RSAD2 SAMD9 TRIM22 CD38
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	CD8_Mem	2.59443752594438e-5	0.00350951584018621	-0.742128675164968	-2.89581385913798	0	42	LGALS3BP IRF7 JUN UBE2L6 STAT1 TRIM22 GBP1 EPSTI1 IFI44L IFI6 SAMD9L IFI44 IFI27 MX2 SAMD9 OAS2 ISG15 OAS1 DDX58 PLSCR1 EIF2AK2 DDX60L OASL MX1 DDX60 PARP12 XAF1 PARP9 PARP14 FBXO6 TRIM5 CD38
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	CD8_Naive	2.78419689840466e-5	0.012129019819204	-0.730352824633467	-2.70095840708285	0	33	XAF1 DDX60L HERC6 IFI6 UBE2L6 MX2 DDX58 STAT1 LGALS3BP OAS3 PLSCR1 SAMD9L GBP1 ISG15 DDX60 IRF7 MX1 IFI44 OASL EIF2AK2 PARP9 PARP12 TRIM22
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	cDC	0.00131840453373738	0.090668563220168	-0.540502147789908	-1.87684470760658	66	30	OASL IFI44 IFIH1 MX2 SAMD9 EIF2AK2 DDX60L OAS3 MX1 IRF7 UBE2L6 XAF1 IFI6 TRIM22
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	DNT	3.01462091142039e-4	0.0151527360528753	-0.599336016103605	-1.98652553943274	17	28	DDX58 PARP14 EPSTI1 IFIT3 IFI6 STAT1 ISG15 DDX60L MX1 HERC5 PLSCR1 SAMD9L IRF7 MX2 EIF2AK2 UBE2L6 XAF1 OASL IFIH1 PARP9 SAMD9
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	MAIT	1.85250365869473e-5	0.00503907151365476	-0.756937955420628	-2.35910498451169	0	21	STAT1 PLSCR1 EPSTI1 ISG15 IFI44 TRIM22 MX1 DDX60L IRF7 MX2 HERC5 XAF1 SAMD9 EIF2AK2 IFI6 SAMD9L UBE2L6
vaccine_infection induced early blood transcriptomic signature	foointerferonYellow_Fever_Vaccine(2009)	Mono_Classical	1.89039490349534e-5	7.22273773144145e-4	-0.64944532904807	-2.497585111913	0	52	MARCKS CDKN1C OASL TLR7 SAMD9 MX2 DDX58 UBE2L6 LGALS3BP STAT1 RSAD2 SERPING1 IFIT3 EIF2AK2 ISG15 DDX60L IFIT2 MX1 PARP14 XAF1 OAS3 IRF7 OAS2 GBP1 CMPK2 IFI44L EPSTI1 FBXO6 IFI44 PARP12 HERC5 SIGLEC1 TRIM22 PNPT1 SAMD9L
